artistName,id_stream
Ghost,1865
Anathema,1056
Moonspell,932
Trivium,775
Rise Against,683
Slipknot,602
Powerwolf,598
Epica,554
Red Hot Chili Peppers,506
Alter Bridge,440
CommonWealth,351
Queens of the Stone Age,340
Gloryhammer,339
Two Door Cinema Club,336
Nightwish,293
Weezer,246
Foo Fighters,242
In Flames,237
Biffy Clyro,215
Stone Sour,209
Eluveitie,199
My Chemical Romance,189
Volbeat,176
TOOL,175
Guano Apes,172
Portugal. The Man,163
Muse,154
The Pretty Reckless,149
Avantasia,142
Pink Floyd,141
Rush,136
Down Like Silver,131
Breaking Benjamin,121
Pearl Jam,118
Opeth,117
Deftones,111
Alice In Chains,96
System Of A Down,96
Heaven Shall Burn,95
Avenged Sevenfold,93
Arctic Monkeys,86
Of Monsters and Men,85
Zakk Wylde,82
Altin Gün,82
Arch Enemy,79
Gojira,61
Tenacious D,59
Bullet For My Valentine,57
Oasis,55
Slash,55
Architects,53
The Cranberries,53
Rammstein,48
Rage Against The Machine,48
Desert Smoke,47
Enrique Iglesias,47
Queen,46
Buena Vista Social Club,45
The Police,45
Insomnium,43
Metallica,43
Green Day,42
Mastodon,42
Coldplay,40
Nickelback,40
Sum 41,39
The Rolling Stones,37
Alestorm,37
Ozzy Osbourne,36
Will Ferrell,34
Knorkator,34
The Black Keys,33
Dustin Kensrue,32
Eddie Vedder,32
Steven Wilson,31
Peter Bradley Adams,30
AC/DC,29
The Offspring,28
Bad Wolves,27
Scorpions,27
The Smashing Pumpkins,26
Disturbed,25
The 88,25
The Lonely Island,25
Guns N' Roses,25
Radiohead,25
blink-182,25
Mötley Crüe,24
August Burns Red,24
Nirvana,23
Lady Gaga,22
The Weeknd,22
Gorillaz,21
Marc Anthony,20
Linkin Park,20
Ziggy Alberts,19
No Doubt,19
Killimanjaro,19
Gogol Bordello,19
Audioslave,18
Sabaton,18
Caitlin Canty,17
Good Charlotte,17
Faith No More,17
Cigarettes After Sex,16
Lynyrd Skynyrd,16
Coheed and Cambria,16
TOTO,16
The Kooks,16
Papa Roach,16
The Killers,16
Simple Plan,16
Ever So Blue,16
Jonas Holmes,15
Motörhead,15
Korn,15
The White Stripes,15
Dire Straits,15
COIN,15
Staind,14
Juanes,14
Natiruts,14
KISS,14
Jack White,14
The Strokes,14
Phoenix,14
MGMT,14
Sepultura,14
Led Zeppelin,13
Andreas Bourani,13
Stephan Moccio,13
Leyland Rogers,13
The Clash,12
Lucas Bernard,12
Dream Theater,12
Sixx:A.M.,12
Cold,12
Gente De Zona,12
Mavis Marchena,12
Alanis Morissette,12
Foals,12
Paramore,12
Iron Maiden,12
Chino & Nacho,11
Kings of Leon,11
Lamb of God,11
Movements,11
Slayer,11
Matti Aalto,11
Grivo,11
Toy,11
Romaine LaGrande,11
Chuck Ragan,11
Alexander Panagopoulos,11
Kasabian,10
Nicky Jam,10
Jesus the Snake,10
Franz Ferdinand,10
Alexandra Zvereca,10
The National,10
Robert Gafforelli,10
Justin Timberlake,10
The Beatles,10
Maná,10
Marie Denis,10
Joy Williams,10
Shinedown,10
Stone Temple Pilots,10
Eminem,10
Maroon 5,10
Irma Kantola,10
Billy Talent,10
Bryan Adams,9
Toshi Sakura,9
The Libertines,9
Gavin Luke,9
The Goo Goo Dolls,9
The Cure,9
WWE,9
Claribel Ramón,9
Narrow Head,9
Apocalyptica,9
Leslie Miles,9
Haakon Stange,9
Dr. Dre,9
The Who,9
Heike Blau,9
The Neighbourhood,9
Jimmy Eat World,9
David Gilmour,8
Stephan Neudorf,8
Mauro Cangemi,8
Bush,8
Stevie Wonder,8
Megadeth,8
Florence + The Machine,8
Matchbox Twenty,8
Bon Jovi,8
Avril Lavigne,8
Olivia Belli,8
Enter Shikari,8
Lukas Graham,8
Tame Impala,8
Finsterforst,8
America,8
Katatonia,8
alt-J,8
Ana Petrovna,8
Modest Mouse,8
Elton John,8
Joel Lyssarides,8
Third Eye Blind,8
Daddy Yankee,7
Carlos Vives,7
Boyce Avenue,7
Yao Chen,7
Babyshambles,7
Shakira,7
Interpol,7
The xx,7
Randy Oppenheim,7
Wardruna,7
Franz Becker,7
Cage The Elephant,7
Bloc Party,7
Kyran Martin,7
Emanuel,7
Bastille,7
Tremonti,7
Ella Stark,7
Van Halen,7
Ice Cube,7
Peter Sandberg,7
Foster The People,7
Quiet Riot,7
Misery Signals,7
Soundgarden,7
Gregory Alan Isakov,7
Arcade Fire,7
Phil Collins,6
Aerosmith,6
Cake,6
Luis Fonsi,6
Imagine Dragons,6
Quim Barreiros,6
Mounia Sedé,6
Sundowner,6
Léon Branche,6
Supertramp,6
Creed,6
Scissor Sisters,6
The Script,6
Geir Gudmundson,6
Counting Crows,6
Jet,6
Lorde,6
Jef Martens,6
David Bowie,6
The Cardigans,6
Fuel,6
Panic! At The Disco,6
Giant Rooks,6
The Raconteurs,6
Jimi Hendrix,6
Kansas,6
Pamela Goldings,6
Incubus,6
The Smiths,6
Jens Wechsler,6
Gilbert Lécuyer,6
Anderson .Paak,6
Eric Cadogan,6
Elliot Ziegler,6
Snow Patrol,5
Robin Bennich,5
Matt and Kim,5
Justin Bieber,5
5 Seconds of Summer,5
Maik Kuefer,5
Olivier Mournier,5
Daft Punk,5
Jewel,5
Carin Florie,5
AURORA,5
Catherine Feeny,5
Alexis Ffrench,5
Lama House,5
Charles Weathersby,5
Gin Blossoms,5
Rosie Carney,5
Alcest,5
Akira Kosemura,5
Smith & Myers,5
Fates Warning,5
Frank Sinatra,5
The Doors,5
Myles Mackay,5
Elvis Presley,5
Pixies,5
Lifehouse,5
Pitbull,5
The Shins,5
Journey,5
Prewitt Massé,5
Higher Power,5
Alvaro Soler,5
Cold War Kids,5
T. Rex,5
Anna Calvi,5
GIMS,5
Hot Chip,5
The Wombats,5
Amity Fall,5
Drake,4
Comet Blue,4
The All-American Rejects,4
The Ballroom Thieves,4
Fernando Alegre,4
Dark Tranquillity,4
Salvador Sobral,4
Wild Child,4
Metronomy,4
Sarah Spring,4
Editors,4
Savan Kotecha,4
Oddur Klemenzson,4
Water Liars,4
The Beach Boys,4
Elliot Bruckner,4
James Keer,4
Patrizio Pisani,4
Don Omar,4
Ricki Westberg,4
Julien Thorsen,4
Bruce Springsteen,4
Ivalu Karlsen,4
Katona Ernesztina,4
Franz Gordon,4
fun.,4
Isobel Noble,4
Cream,4
Miike Snow,4
Roland Toubin,4
Arelius,4
Eric Clapton,4
Zoe Carmel,4
Donna Haddock,4
Rosemary & Garlic,4
The Brother Brothers,4
Rosinha,4
Clara Nishimoto,4
Isaac Nash,4
Frano Stanić,4
Doris Casella,4
Puddle Of Mudd,4
Little Florence,4
Take Me Home,4
Emmanuelle Rimbaud,4
Fouad Elalamy,4
Billy Idol,4
Tim Missel,4
Michael Bublé,4
Erik Mjönes,4
Élise Aucoin,4
Petra Birgisdóttir,4
Maluma,4
Margaretha van Baarle,4
Sick Puppies,4
Calvin Harris,4
Mandolin Orange,4
Bert Hearns,4
Biba Dupont,4
Skillet,4
U2,4
Beta Radio,4
Nick Cave & The Bad Seeds,4
Corey Taylor,4
Duncan Sheik,4
Billy Joel,4
Peter Bjorn and John,4
Falerina Paquet,4
